"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785441792000975181","Tue Apr 30 22:51:09 +0000 2024","13","Analisis Peluang Timnas U-23 Indonesia Kalahkan Irak di Perebutan Tiket Menuju Olimpiade Paris https://t.co/IRujbrBvaL","1785441792000975181","","","in","","1","5","2","https://x.com/KompasTV/status/1785441792000975181","71436318","KompasTV"
"1785325236277436906","Tue Apr 30 22:49:15 +0000 2024","0","@brooklynbrick89 @garagarabola_ Utk liga satu2 stepnya wasit Jepang kan udah didatangin itu buat transfer ilmu. Memang proses perbaikan liga ini ga secepat upgrade timnas karena scoups liga ini kan luas. Setiap asprov punya problemnya masing2. Tapi tetep harus dipantau perkembangan liga.","1785441314659553756","","AdamK_27","in","","0","0","0","https://x.com/AdamK_27/status/1785441314659553756","1618781289989169152","AdamK_27"
"1785336103480000851","Tue Apr 30 22:48:43 +0000 2024","6","@idn_abroad Nice anlysis Idn_Abroad! Letsgo Timnas Letsgo Timnas. Btw gak sabar juga lihat Timnas di QWC 2026 Juni nanti ","1785441177963229680","","idn_abroad","in","","0","0","0","https://x.com/garagarabola_/status/1785441177963229680","1042719651250110464","garagarabola_"
"1785193157342441508","Tue Apr 30 22:48:37 +0000 2024","7","@txtdaripersija jadi supporter bola di indonesia itu udah mah liga nya jelek taruhannya nyawa. mending dukung timnas aja","1785441151547490803","","txtdaripersija","in","","0","1","0","https://x.com/PuruRin_Nano/status/1785441151547490803","565986406","PuruRin_Nano"
"1785122728586138037","Tue Apr 30 22:47:17 +0000 2024","0","@X_Tactico @ruangtaktik Timnas pantas kalah.... Tapi pencapaian sekarang sebuah kebanggaan.... Gak nyangka bisa melaju sejauh ini","1785440816254828799","","X_Tactico","in","","0","0","0","https://x.com/DedyKaunang/status/1785440816254828799","1347521154467069957","DedyKaunang"
"1785434973014831512","Tue Apr 30 22:45:11 +0000 2024","0","@dseptaa18 Saking takutnya sama timnas kita ngga malu apa ya.. kekutan uzbek kan diatas kita kenapa juga mereka pake cara kotor kek gitu ","1785440287445410072","","dseptaa18","in","","0","1","0","https://x.com/y_azkhadina/status/1785440287445410072","1644965244228497410","y_azkhadina"
"1785288653931233784","Tue Apr 30 22:45:01 +0000 2024","3","@ch_chotimah2 Iya tapi respon pelatih pemain dan staf timnas secara gentle mengakui uzbek lebih baik mereka lebih fokus persiapan tanding berikutnya...tidak protes sana sini teriak curang cureng di medsos minta simpati ...mereka tim yg bermental kuat meskipun pernah dijegal ganjar dan koster","1785440248887157034","","ch_chotimah2","in","","0","0","1","https://x.com/santoz92725/status/1785440248887157034","1735645952676130816","santoz92725"
"1785439794103001162","Tue Apr 30 22:43:13 +0000 2024","0"," #Berita terbaru Timnas #Hari Ini Selasa 30 April 2024 Malam #Berita terbaru Timnas Indonesia Terbaru https://t.co/xmDpxIO9Xm","1785439794103001162","","","in","","0","0","0","https://x.com/idn_media/status/1785439794103001162","2508657594","idn_media"
"1785439666667508113","Tue Apr 30 22:42:43 +0000 2024","0","Wkwkwkw bener lagi ntar kata beacukmakinbaik semua barang termasuk Gift harus dipajakin. Timnas kl menang bawa piala jg paling ditahan dulu suruh bayar pajak Abis itu menterinya turun tangan seolah olah jadi superhero yg nyelamatin padahal https://t.co/DzL98WhJc4","1785439666667508113","https://pbs.twimg.com/media/GMcn6iNbwAAQeU5.jpg","","in","","0","1","0","https://x.com/pak_marmut/status/1785439666667508113","445314640","pak_marmut"
"1785439645779828819","Tue Apr 30 22:42:38 +0000 2024","1","Jadwal Timnas Indonesia vs Irak di Piala Asia U-23 2024 untuk perebutan juara 3 dan peluang ke Olimpiade Paris 2024 lengkap dengan Link Live Streaming. #TribunKaltim #TimnasDay #AFC2024 #PialaAsiaU23 https://t.co/YNIavovHbt lewat @tribunnews","1785439645779828819","","","in","","0","0","0","https://x.com/tribunkaltim/status/1785439645779828819","103551225","tribunkaltim"
"1785439298889855303","Tue Apr 30 22:41:15 +0000 2024","1","Kenapa rame dah ini beberapa kaum laki protes karna gw bilang dia gak terlalu ganteng tapi menarik dibilang fomo ngefan karna tampang bukan permainan lah padahal dah ngikutin timnas dari zaman witan masih cilik cm baru ngepost aja. Suka nathan jg sebelum dia sumpah WNI","1785439298889855303","","","in","","0","1","0","https://x.com/hjsqqkka/status/1785439298889855303","1103231210","hjsqqkka"
"1785439124436169000","Tue Apr 30 22:40:33 +0000 2024","5","Maarten Paes menuturkan mimpi besarnya bersama Timnas Indonesia. #kumparanBOLA #bola #text #happening https://t.co/ZJ1n6fA3I1","1785439124436169000","","","in","","0","1","0","https://x.com/kumparan/status/1785439124436169000","759692754985242625","kumparan"
"1785424801911443904","Tue Apr 30 22:40:10 +0000 2024","1","@id_fm @PSSI @pt_lib Sabar kita liat musim berikutnya liga setelah all in untuk semesta di timnas apakah beneran selanjutnya memperbaiki liga? Menarik di tunggu liga musim depan","1785439024926327141","","id_fm","in","","0","0","0","https://x.com/MuldamZr9/status/1785439024926327141","1665469660048027648","MuldamZr9"
"1785438826988773852","Tue Apr 30 22:39:22 +0000 2024","0","Kita sudah ada di titik lapis 2 nya pun sekeren ini timnas kita ","1785438826988773852","","","in","","0","0","1","https://x.com/happyandl0ve/status/1785438826988773852","1410133058250940417","happyandl0ve"
"1785438816875995604","Tue Apr 30 22:39:20 +0000 2024","8","Waduh. Fans kok merusak Timnas sendiri? Itu otaknya ditaruh di mana sih? Makanya pejabat atau siapa pun yg bkn bagian dari tim mending nahan diri ndak usah ikut campur biar ndak ditiru oleh yg lainnya. Lessoh. ‍️","1785438816875995604","","","in","","0","1","1","https://x.com/mnadielmadani7/status/1785438816875995604","3179332453","mnadielmadani7"
"1785438728846225675","Tue Apr 30 22:38:59 +0000 2024","0","para pemain narasi bukan skuad timnas. mereka memainkan narasi. kadang bahkan sering bernada intimidasi. ya tentu untuk mencapai hasrat mereka. namun belakangan ada satu alasan kenapa permainan narasi mereka makin surut. mungkin kemakan narasi sendiri. that's!","1785438728846225675","","","in","","0","0","0","https://x.com/badru_badroe/status/1785438728846225675","434892045","badru_badroe"
"1785438472595218892","Tue Apr 30 22:37:58 +0000 2024","48","Tukang fitnah memuaskan diri. Tidak mungkin Pak Ganjar mengeluarkan pernyataan seperti itu. Tersebar Pernyataan @ganjarpranowo Timnas Indonesia Kalah di Semi Final Lebih Bagus Biar Tidak Ketemu Israel @Miduk17 Jhon Sitorus: Masih Aja Difitnah https://t.co/Z9pEubOL7z https://t.co/hftKrUxD3F","1785438472595218892","https://pbs.twimg.com/media/GMcm1DkbkAATxuj.jpg","","in","","2","12","13","https://x.com/yangmi3prnew/status/1785438472595218892","1531957384213843970","yangmi3prnew"
"1784980797251842212","Tue Apr 30 22:37:48 +0000 2024","1","@detikcom tingkatkan lagi permainanmu timnas Garuda !!! Usiamu masih muda bermainlah lebih sportif lagi jauhi kecurangan dan emosi jiwa yg tidak terbendungkan !!! Jangan salahkan orang lain !!!","1785438431969202405","","detikcom","in","","0","0","0","https://x.com/AnwarOjat/status/1785438431969202405","1630976361652424704","AnwarOjat"
"1785438334875316343","Tue Apr 30 22:37:25 +0000 2024","6","AMUNISI baru skuad TIMNAS INDONESIA 🇮🇩 WELCOME MAARTEN PAES https://t.co/azsacLpx67","1785438334875316343","","","in","","0","1","0","https://x.com/g4b0ng0ku73/status/1785438334875316343","1614470115210457090","g4b0ng0ku73"
"1785196631954227697","Tue Apr 30 22:36:56 +0000 2024","0","@yusuf_dumdum Walaupun gol itu tidak dianulir oleh wasit.. indonesia unggul 1 - 0 saya melihat Uzbek mampu menyamakan dan memenangkan pertandingan.. lewat perpanjangan waktu 15 × 2 timnas kalah kelas ( lihat data statistik pertandingan ).. yg ke final Uzbek vs Japan memang pantas dan layak","1785438214989267407","","yusuf_dumdum","in","","0","0","0","https://x.com/StefanusSumars1/status/1785438214989267407","1464753079040020485","StefanusSumars1"
